"행정구역","2020년07월_남_총인구수","2020년07월_남_연령구간인구수","2020년07월_남_0~9세","2020년07월_남_10~19세","2020년07월_남_20~29세","2020년07월_남_30~39세","2020년07월_남_40~49세","2020년07월_남_50~59세","2020년07월_남_60~69세","2020년07월_남_70~79세","2020년07월_남_80~89세","2020년07월_남_90~99세","2020년07월_남_100세 이상","2020년07월_여_총인구수","2020년07월_여_연령구간인구수","2020년07월_여_0~9세","2020년07월_여_10~19세","2020년07월_여_20~29세","2020년07월_여_30~39세","2020년07월_여_40~49세","2020년07월_여_50~59세","2020년07월_여_60~69세","2020년07월_여_70~79세","2020년07월_여_80~89세","2020년07월_여_90~99세","2020년07월_여_100세 이상"
"경기도 용인시 수지구 죽전1동(4146554000)","27,581","27,581","2,683","3,600","3,914","3,365","5,309","4,250","2,294","1,474","634","58","0","29,547","29,547","2,642","3,612","3,892","3,798","5,778","4,318","2,657","1,865","834","146","5"
"경기도 용인시 수지구 죽전2동(4146555000)","9,172","9,172","809","838","1,414","1,676","1,503","1,416","819","492","178","27","0","9,433","9,433","760","777","1,404","1,661","1,571","1,446","923","559","273","58","1"
"경기도 용인시 수지구 동천동(4146556000)","24,262","24,262","3,001","2,723","2,785","3,791","4,700","3,467","2,183","1,199","379","34","0","24,897","24,897","2,813","2,586","2,750","4,272","4,811","3,389","2,343","1,345","468","116","4"
"경기도 용인시 수지구 상현1동(4146557000)","23,727","23,727","2,459","3,167","3,068","3,319","4,489","3,558","1,856","1,286","485","38","2","25,319","25,319","2,468","3,103","3,281","3,659","4,949","3,453","2,174","1,526","567","131","8"
"경기도 용인시 수지구 상현2동(4146558000)","16,673","16,673","1,821","2,197","1,935","2,103","3,167","2,492","1,357","1,145","410","46","0","17,604","17,604","1,683","2,071","1,956","2,344","3,457","2,492","1,673","1,350","479","93","6"
"경기도 용인시 수지구 성복동(4146559000)","24,271","24,271","2,588","2,945","2,737","2,565","4,573","3,662","2,405","2,078","658","58","2","26,217","26,217","2,488","3,061","2,685","3,286","5,197","3,585","2,977","2,102","680","148","8"
"경기도 파주시 (4148000000)","231,825","231,825","22,632","24,912","29,458","35,307","40,743","37,231","23,457","12,520","5,008","498","59","224,963","224,963","21,727","23,369","26,343","31,083","38,562","33,866","23,774","15,968","8,645","1,491","135"
"경기도 파주시 문산읍(4148025000)","24,778","24,778","2,594","2,457","3,115","4,377","3,993","3,570","2,428","1,503","649","79","13","23,817","23,817","2,574","2,283","2,653","3,515","3,503","3,346","2,632","2,005","1,124","167","15"
"경기도 파주시 파주읍(4148025300)","6,988","6,988","304","409","875","781","1,003","1,454","1,173","640","304","34","11","6,146","6,146","267","365","584","560","696","1,096","1,080","833","538","96","31"
"경기도 파주시 법원읍(4148025600)","5,791","5,791","194","429","801","514","748","1,222","1,035","595","222","27","4","5,109","5,109","172","339","531","385","548","1,008","926","698","427","66","9"
"경기도 파주시 조리읍(4148026200)","15,359","15,359","932","1,387","2,108","1,698","2,303","3,123","2,213","1,101","447","42","5","14,865","14,865","916","1,404","1,716","1,412","2,213","2,853","2,113","1,366","738","126","8"
"경기도 파주시 월롱면(4148031000)","5,847","5,847","90","163","1,276","1,845","659","796","620","281","108","9","0","3,357","3,357","107","124","874","403","270","527","508","275","228","38","3"
"경기도 파주시 탄현면(4148032000)","7,311","7,311","387","524","854","915","1,236","1,507","1,050","560","254","23","1","6,151","6,151","336","491","638","606","943","1,089","932","618","404","86","8"
"경기도 파주시 광탄면(4148035000)","6,279","6,279","262","368","785","641","806","1,320","1,215","627","220","31","4","5,256","5,256","254","305","496","416","577","1,037","960","629","465","106","11"
"경기도 파주시 파평면(4148036000)","2,051","2,051","61","104","277","145","218","434","388","270","137","11","6","1,900","1,900","45","98","149","126","151","352","387","313","225","50","4"
"경기도 파주시 적성면(4148037000)","4,074","4,074","301","306","593","490","498","675","635","419","142","15","0","3,540","3,540","297","228","355","385","370","575","552","495","228","53","2"
"경기도 파주시 장단출장소(4148038700)","288","288","10","13","30","25","53","50","51","39","16","1","0","281","281","12","25","26","23","24","48","45","53","24","1","0"
"경기도 파주시 진동면(4148040000)","87","87","1","4","4","6","5","19","17","21","8","2","0","72","72","4","8","0","4","11","8","16","13","8","0","0"
"경기도 파주시 금촌1동(4148051000)","11,904","11,904","641","829","1,906","1,703","1,822","2,381","1,507","802","280","27","6","10,624","10,624","593","725","1,524","1,195","1,557","1,854","1,540","1,005","532","90","9"
"경기도 파주시 금촌2동(4148052000)","16,506","16,506","1,845","2,219","2,165","2,380","2,999","2,620","1,260","704","284","28","2","17,150","17,150","1,737","2,088","2,130","2,345","3,224","2,521","1,458","1,031","522","85","9"
"경기도 파주시 금촌3동(4148053000)","14,100","14,100","1,217","1,467","2,083","2,058","2,262","2,384","1,507","769","322","29","2","13,363","13,363","1,228","1,323","1,731","1,740","2,107","2,211","1,508","944","497","72","2"
"경기도 파주시 교하동(4148054000)","20,848","20,848","2,030","2,872","2,461","2,566","4,176","3,484","1,932","933","361","32","1","20,147","20,147","1,971","2,610","2,038","2,580","4,123","3,000","1,862","1,182","639","132","10"
"경기도 파주시 운정1동(4148055000)","22,444","22,444","2,701","2,979","2,557","3,327","4,432","3,347","1,845","896","328","30","2","23,292","23,292","2,591","2,916","2,715","3,443","4,565","3,330","1,935","1,150","546","93","8"
"경기도 파주시 운정2동(4148056000)","30,721","30,721","4,682","3,788","3,121","6,125","6,194","3,580","1,854","964","376","36","1","32,136","32,136","4,544","3,754","3,600","6,036","6,158","3,675","2,214","1,441","612","102","0"
"경기도 파주시 운정3동(4148057000)","36,449","36,449","4,380","4,594","4,447","5,711","7,336","5,265","2,727","1,396","550","42","1","37,757","37,757","4,079","4,283","4,583","5,909","7,522","5,336","3,106","1,917","888","128","6"
"경기도 이천시 (4150000000)","113,271","113,271","9,966","12,448","16,816","16,419","18,003","18,258","12,716","5,986","2,416","225","18","105,683","105,683","9,388","11,182","12,923","14,267","16,841","16,897","12,232","6,996","4,204","707","46"
"경기도 이천시 장호원읍(4150025000)","7,537","7,537","513","745","939","810","1,077","1,325","1,159","657","281","27","4","7,260","7,260","486","667","630","721","999","1,230","1,181","761","515","63","7"
"경기도 이천시 부발읍(4150025300)","18,877","18,877","1,741","2,342","2,902","2,756","3,484","2,923","1,694","721","293","21","0","17,158","17,158","1,710","2,181","2,026","2,430","3,292","2,535","1,569","844","489","77","5"
"경기도 이천시 신둔면(4150031000)","7,163","7,163","533","638","897","970","1,067","1,336","1,063","468","171","18","2","6,452","6,452","522","496","752","831","876","1,207","916","522","262","64","4"
"경기도 이천시 백사면(4150032000)","5,680","5,680","416","448","701","650","854","1,105","850","430","202","24","0","5,495","5,495","396","404","586","614","765","1,068","816","484","294","64","4"
"경기도 이천시 호법면(4150033000)","3,384","3,384","170","475","389","389","430","610","531","266","114","10","0","2,914","2,914","154","315","339","263","307","490","496","313","198","38","1"
"경기도 이천시 마장면(4150034000)","7,727","7,727","713","1,018","1,233","1,290","1,068","1,039","804","390","150","20","2","6,440","6,440","694","811","797","982","797","882","716","443","271","43","4"
"경기도 이천시 대월면(4150035000)","7,418","7,418","663","618","1,258","1,365","1,151","1,069","744","395","140","13","2","7,119","7,119","610","628","1,251","1,205","955","937","739","486","248","57","3"
"경기도 이천시 모가면(4150036000)","2,398","2,398","89","138","248","231","301","484","503","262","129","13","0","2,059","2,059","70","120","149","127","213","399","437","290","224","28","2"
"경기도 이천시 설성면(4150037000)","2,533","2,533","91","131","233","244","304","509","528","327","155","9","2","2,274","2,274","98","111","170","155","198","410","466","346","262","54","4"
"경기도 이천시 율면(4150038000)","1,388","1,388","41","65","113","91","160","240","342","195","126","14","1","1,307","1,307","29","59","80","54","95","222","308","207","216","34","3"
"경기도 이천시 창전동(4150051000)","8,586","8,586","533","800","1,493","1,234","1,277","1,444","1,099","526","166","14","0","8,727","8,727","492","758","1,308","1,005","1,339","1,618","1,238","603","326","36","4"
"경기도 이천시 증포동(4150051500)","26,982","26,982","3,634","4,148","3,547","4,103","5,025","3,980","1,710","601","216","17","1","27,020","27,020","3,391","3,752","3,173","4,399","5,445","3,798","1,699","819","464","79","1"
"경기도 이천시 중리동(4150052000)","8,341","8,341","515","498","2,069","1,502","1,016","1,203","918","436","166","15","3","6,447","6,447","457","452","948","911","848","1,142","911","481","253","42","2"
"경기도 이천시 관고동(4150053000)","5,257","5,257","314","384","794","784","789","991","771","312","107","10","1","5,011","5,011","279","428","714","570","712","959","740","397","182","28","2"
"경기도 안성시 (4155000000)","95,575","95,575","7,413","9,651","12,162","12,604","16,115","16,464","12,188","6,140","2,627","199","12","89,969","89,969","7,023","8,846","9,875","10,541","14,029","14,653","12,036","7,339","4,787","796","44"
"경기도 안성시 공도읍(4155025000)","29,240","29,240","3,057","3,886","3,493","4,349","6,077","4,368","2,347","1,206","423","33","1","28,841","28,841","3,033","3,595","3,111","4,034","5,804","4,047","2,686","1,554","851","121","5"
"경기도 안성시 보개면(4155031000)","2,897","2,897","104","181","307","273","340","593","604","323","163","9","0","2,582","2,582","87","132","214","165","234","484","525","403","284","49","5"
"경기도 안성시 금광면(4155032000)","3,793","3,793","248","340","394","365","594","689","686","303","163","10","1","3,751","3,751","201","337","333","332","506","653","643","397","290","57","2"
"경기도 안성시 서운면(4155033000)","1,796","1,796","54","84","186","152","215","391","378","212","116","7","1","1,611","1,611","33","66","114","111","142","309","358","256","192","29","1"
"경기도 안성시 미양면(4155034000)","3,107","3,107","134","147","335","327","448","582","628","336","159","10","1","2,632","2,632","108","130","196","197","269","513","528","358","286","43","4"
"경기도 안성시 대덕면(4155035000)","8,681","8,681","798","590","1,204","1,580","1,561","1,383","936","445","173","10","1","6,915","6,915","703","576","888","1,135","993","1,004","830","457","277","49","3"
"경기도 안성시 양성면(4155036000)","2,777","2,777","81","130","289","235","345","604","614","314","152","13","0","2,513","2,513","73","150","185","165","230","461","537","342","286","80","4"
